time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-21T03:10:50.090Z,19.0163,-65.7745,16,3.1,md,5,310,0.7719,0.28,pr,pr2019325003,2019-11-21T09:04:07.721Z,"65km N of Vieques, Puerto Rico",earthquake,8.189,16.37,0.26,5,reviewed,pr,pr
2019-11-21T02:41:20.060Z,17.3796,-66.0165,12,2.62,md,4,321,1.1849,0.35,pr,pr2019325012,2019-11-21T09:09:43.409Z,"65km S of Arroyo, Puerto Rico",earthquake,17.49,24.39,0.42,4,reviewed,pr,pr
2019-11-21T02:29:25.675Z,38.3832,-118.9058,6.9,2.9,ml,23,63.4,0.133,0.2426,nn,nn00711190,2019-11-22T02:08:00.980Z,"29km WSW of Hawthorne, Nevada",earthquake,,1.7,0.31,13,reviewed,nn,nn
2019-11-21T02:20:52.567Z,-19.7928,14.836,10,4.6,mb,,50,2.657,0.69,us,us70006ass,2019-11-21T02:39:01.040Z,"64km NNW of Khorixas, Namibia",earthquake,9,1.9,0.146,14,reviewed,us,us
2019-11-21T02:19:11.960Z,18.9675,-65.8415,8,2.72,md,3,306,0.8255,0.16,pr,pr2019325008,2019-11-21T09:07:20.865Z,"59km N of Loiza, Puerto Rico",earthquake,6.62,8.99,0.19,3,reviewed,pr,pr
2019-11-21T02:08:14.246Z,13.2312,-89.0519,55.99,4,mb,,167,1.198,0.9,us,us70006asn,2019-11-21T05:08:24.935Z,"29km S of El Rosario, El Salvador",earthquake,3.8,18.5,0.164,10,reviewed,us,us
2019-11-21T01:36:28.026Z,-29.8452,-71.2664,54.29,4.2,mb,,165,0.077,0.41,us,us70006as5,2019-11-21T04:16:57.357Z,"7km N of La Serena, Chile",earthquake,2.4,7,0.306,3,reviewed,us,us
2019-11-21T01:25:47.490Z,18.9585,-65.8451,6,3.08,md,6,304,0.6919,0.37,pr,pr2019325006,2019-11-21T09:06:01.281Z,"58km N of Loiza, Puerto Rico",earthquake,5.34,5.12,0.18,4,reviewed,pr,pr
2019-11-21T01:15:52.170Z,18.8218,-65.9236,31,2.69,md,3,293,0.5372,0.2,pr,pr2019325005,2019-11-21T09:05:18.633Z,"43km NNE of San Juan, Puerto Rico",earthquake,3.39,10.95,0.06,3,reviewed,pr,pr
2019-11-21T01:14:43.047Z,19.3963,101.3651,10,4.5,mb,,110,2.361,0.83,us,us70006arz,2019-11-21T06:16:41.338Z,"35km NE of Bo Kluea, Thailand",earthquake,9.6,1.9,0.171,10,reviewed,us,us
